nation,city,sessionid,groupid,mgroupid,subjectid,p,secseq,period,senderscontribution,otherscontribution,punishment,recpun,civic,ruleoflaw,female,age,numknown,singlechild,ageu21,urbanbackground,middleclass,membership,percent_vacc,location
1,Melbourne,070912_1031,6101,6101,6101,N-experiment,0,1,5,10,NA,NA,9.018102,1.79427,0,18,0,0,1,0,1,0,82.72965705205476,Australia
1,Melbourne,070912_1031,6101,6101,6102,N-experiment,0,1,10,5,NA,NA,9.018102,1.79427,0,22,0,0,0,1,0,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6101,6101,6103,N-experiment,0,1,6,5,NA,NA,9.018102,1.79427,0,18,1,0,1,1,0,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6101,6101,6104,N-experiment,0,1,20,5,NA,NA,9.018102,1.79427,0,22,0,0,0,1,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6102,6102,6105,N-experiment,0,1,20,5,NA,NA,9.018102,1.79427,0,23,0,0,0,1,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6102,6102,6106,N-experiment,0,1,5,20,NA,NA,9.018102,1.79427,0,20,0,0,1,1,0,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6102,6102,6107,N-experiment,0,1,0,20,NA,NA,9.018102,1.79427,0,22,0,0,0,1,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6102,6102,6108,N-experiment,0,1,5,20,NA,NA,9.018102,1.79427,1,19,0,1,1,1,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6103,6103,6109,N-experiment,0,1,6,2,NA,NA,9.018102,1.79427,1,18,0,0,1,0,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6103,6103,6110,N-experiment,0,1,2,6,NA,NA,9.018102,1.79427,1,20,0,0,1,1,0,0,82.72965705205476,Australia
1,Melbourne,070912_1031,6103,6103,6111,N-experiment,0,1,10,6,NA,NA,9.018102,1.79427,1,23,0,0,0,1,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6103,6103,6112,N-experiment,0,1,15,6,NA,NA,9.018102,1.79427,0,19,0,0,1,1,0,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6104,6104,6113,N-experiment,0,1,6,3,NA,NA,9.018102,1.79427,1,19,0,0,1,0,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6104,6104,6114,N-experiment,0,1,3,6,NA,NA,9.018102,1.79427,1,18,0,0,1,0,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6104,6104,6115,N-experiment,0,1,10,6,NA,NA,9.018102,1.79427,0,18,0,0,1,1,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6104,6104,6116,N-experiment,0,1,20,6,NA,NA,9.018102,1.79427,0,21,0,0,0,1,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6105,6105,6117,N-experiment,0,1,0,0,NA,NA,9.018102,1.79427,0,24,0,0,0,1,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6105,6105,6118,N-experiment,0,1,0,0,NA,NA,9.018102,1.79427,0,18,2,1,1,1,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6105,6105,6119,N-experiment,0,1,10,0,NA,NA,9.018102,1.79427,0,18,0,0,1,0,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6105,6105,6120,N-experiment,0,1,15,0,NA,NA,9.018102,1.79427,0,18,0,0,1,1,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6101,6101,6101,N-experiment,0,2,8,10,NA,NA,9.018102,1.79427,0,18,0,0,1,0,1,0,82.72965705205476,Australia
1,Melbourne,070912_1031,6101,6101,6102,N-experiment,0,2,10,8,NA,NA,9.018102,1.79427,0,22,0,0,0,1,0,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6101,6101,6103,N-experiment,0,2,8,8,NA,NA,9.018102,1.79427,0,18,1,0,1,1,0,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6101,6101,6104,N-experiment,0,2,10,8,NA,NA,9.018102,1.79427,0,22,0,0,0,1,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6102,6102,6105,N-experiment,0,2,19,2,NA,NA,9.018102,1.79427,0,23,0,0,0,1,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6102,6102,6106,N-experiment,0,2,2,19,NA,NA,9.018102,1.79427,0,20,0,0,1,1,0,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6102,6102,6107,N-experiment,0,2,10,19,NA,NA,9.018102,1.79427,0,22,0,0,0,1,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6102,6102,6108,N-experiment,0,2,0,19,NA,NA,9.018102,1.79427,1,19,0,1,1,1,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6103,6103,6109,N-experiment,0,2,8,10,NA,NA,9.018102,1.79427,1,18,0,0,1,0,1,1,82.72965705205476,Australia
1,Melbourne,070912_1031,6103,6103,6110,N-experiment,0,2,10,8,NA,NA,9.018102,1.79427,1,20,0,0,1,1,0,0,82.72965705205476,Australia
